id,Title,Year,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,XYZ,WX,XYZ&,AB,CD,EF,GH,IJK,LM,NO,PQ,RS,TUV,YZ
274,"Bizarre Company, A",1917,Agitated Aunts Alice and Ada and an abominably agile adder are accidentally abreast ascending an ancient archway at an Abbey. ,"Bumptious Brother Bob blissfully brags before bashful beauty; but bumble bees, buzzing by, banish Brother Bob's boasted but brittle bravery—Brother Bob bolts bawling behind bushes.",Curious Cousin Caroline climbs cliffs comically. ,"Dainty Daisy dances delightfully. Dear, droll, dumpy Dora's deportment denotes decorum. ",Eminently enterprising Ernest's effective educational efforts enlighten eager enthusiasts every evening. Ernest encourages emulation.,Feeble Fanny's foolish facile fainting fits frighten friends fearfully.,Genteelly garmented Grandma's goloshes gyrate grotesquely. Gymnastical gambols gratify Grandma.,"Haughty Henery hates handing hot hentrées — hor hindeed hanythink. He hobjects helping hanyone, hexcep' hit happen han hoccasional Hearl.","Irish Ida is incorrigibly idle, incapable, indolent, impertinent—indeed impossible.",Jocose Jane jovially jumping. Jane's jocularity's just juvenile jauntiness.,Kate's knitting's knotted.,Literary Lucy lisping lurid legendary lore.,Mamma musing.,"Nurse nursing nurselings. Nurse's nice nephew, Nathaniel Noggs' new nieces.",Original old Oscar opening oysters.,Papa plucking primroses.,Queer Queenie quarrels quickly.,Reverend Rudolpho Riggs reciting. (Rudolpho's relatives rather revile Rudolpho's recitations.),Sister Sarah's so silly. She supposes she's seeing spooks!,Tired Timothy thinking.,Uncle Uriah unfurls umbrellas unconventionally.,Vain Vivian's vibrating voice vexes.,"Why will Winnie, writhing with wild whoops, wink wryly while working? Wearisome wilful Winnie! Whereas William's wonderfully worthy: William works well, without wandering, without wriggling—wise William!",Xenophon.,Yellow Yeller.,Zack.,,,,,,,,,,,,,,
281,"Canadian child's ABC, A",1931,"APPLES McINTOSH Reds and Russets, Wealthys and Northern Spies, Winesaps, Snows, and Newtons : Which of them takes the prize ?","BEAVER UPON our stamps he used to stand For he is emblem of the land. No more we see him on the stamp ; Our only chance is when we camp. But he is shy, and when he goes A-swimming, you can see his nose, And nothing more except his track. If he ’s alarmed, a mighty smack Of his flat tail, and he ’s gone clean, Like any other submarine.","CHINOOK UP goes the mercury, Away goes the snow, Off go overcoats When chinooks blow.","DAULAC WHEN their canoes left Montreal They knew that they would not come back; But they were proud to give their all For France and die beside Daulac. Eight times day slowly dimmed to night; Eight times night slowly wore to day ; While at Long Sault they fought their fight, And held the Iroquois at bay.","EXPLORERS COLD, want, and hunger could not turn Them back from their great quest— Mackenzie, Henry Hudson, Hearne— Till utmost north and west, Forest and lake and far-spread plain, Arctic and western sea Surrendered to Franklin and Champlain, Kelsey, Laverendrye.","FATHER POINT IT ’s there you drop the pilot When you are outward-bound ; It ’s there they have a foghorn Of strange and doleful sound ; It ’s there you start to wonder Just how you ’re going to be Next day, when you ’re surrounded By nothing but the sea. But when you ’re headed westward, And the sea is all behind, There you pick up the pilot, And Father Point seems kind.","GRAIN WHEAT for the English bakers And oats that are soon to be rolled, Thousands and thousands of acres Covered with prairie gold.","HUDSON BAY COMPANY TWAS Charles the Second gave the charter Allowing them to trade and barter, And they have done so ever since That generous and merry prince Gave their wide powers and mighty sway To the Governor and Company of Adventurers of England trading into Hudson Bay.","INDIANS ABOUT four hundred, years ago They first looked on a white man’s And welcomed him, and did not know That one day he would take their place. They still are here, but their fierce pride And wild free life have passed away ; Another race has thrust aside The children of a bygone day.","JESUITS TO light dark Indian souls they came, And suffered for their dear Faith’s sake; They passed unflinching to the flame; They stood unconquered at the stake.","KICKING HORSE PASS THE thing, some said, could not be done, But pluck and brains persisted till Through that wild pass the rails were run, And it was conquered by man’s will.","LAKES THERE are five Great Lakes, all deep and wide, And when the wind makes a commotion, If you ’re on shipboard, your inside Will feel the same as on the ocean.","MOUNTIES THEY came before the railways came, And to the west brought law and order. They ’ve won themselves a right fair name From Herschel Island to the border.","NIAGARA WHAT a great thing to have been First of white men to have seen Niagara, and stood in wonder At the water’s rush and thunder ! Father Hennepin saw that show Two centuries and a half ago, But, though we can’t feel quite his thrill, The Falls are strange and mighty still.","OTTAWA TO Ottawa from coast to coast The chosen come to make the laws. For weeks they talk about a lot Of different things with scarce a pause : The railway line to Hudson Bay, Taxes and tariff, immigration, The great St. Lawrence waterway, And whether we are yet a nation.","PRAIRIES THE prairies stretch from Winnipeg To where the foothills start, The pioneer jogged all that way In a slow Red River cart.","QUEBEC THE Indians lived there, then the French, And last the English came; Three hundred years of history Are wrapped up in the name.","RIVERS BIG and small, swift and slow, North, south, east and west they flow Fraser, Red, Saskatchewan, Tobique, Saguenay, St. John, Peace, Mackenzie, Montreal, Great St. Lawrence, king of all.","SUGAR IT's not the kind you put in tea, But what comes from the maple tree When men go out in Spring and tap The trunks and catch the fresh sweet sap, Which, after proper boiling, makes Brown maple sugar in hard cakes ; And all one maple tree can do Is to make just a pound or two.","TUMP ""WHEN the portage is long and the footing is rough, And the load on your back weighs far more than enough, When each muscle has its own separate ache, And mosquitoes are with you each step that you take, The tump seems a tyrant. But then through the trees Comes on your face sudden a freshening breeze, You see the trail’s end and a ripple of blue, And bless the good tump line that helped you get through.","UNEXPLORED THE best thing on the old-fashioned maps Of Canada was those great gaps Marked ‘‘Unexplored/' You felt you could Fill them up any way you would— With herds of charging buffalo, With Indian and Eskimo, With teepee, dogsled and igloo, With grizzly bears and caribou. But since the railways have got there, The maps are not so nice and bare.","VANCOUVER SHE lies beyond the mountains, And from within her bay She sends the great ships sailing To ports in far Cathay.","WOLFE WITH muffled oars upstream they crept, Wolfe and his men, on that dark night. They clambered up the narrow path, And morning found them on the height. And New France fell, and Montcalm died, And what France lost old England won; But Wolfe, thrice wounded, only lived To hear with dying ears : “ They run.”",X marks the spot where Jacques Cartier landed And found true romance if ever a man did,"YUKON GOLD gave the Yukon sudden fame, And from the world’s four quarters came Adventurers to stake a claim And risk their fate. Some won, and many lost that game In Ninety-Eight.","ZERO WHEN zero comes and ground is hard, We take the hose and flood the yard; I like the garden, but I think I like it better as a rink. !",,,,,,,,,,,,,,
2638,"Moral Alphabet, A",1899,"A stands for Archibald who told no lies, And got this lovely volume for a prize. The Upper School had combed and oiled their hair, And all the Parents of the Boys were there, In words that ring like thunder through the Hall, Draw tears from some and loud applause from all, - The Pedagogue, with Pardonable Joy, Bestows the Gift upon the Radiant Boy :— Accept the Noblest Work produced as yet'
(Says he) “upon the English Alphabet;
“ Next term I shall examine you, to find “
If you have read it thoroughly. So mind ! And while the Boys and Parents cheered so loud, That out of doors a large and anxious crowd Had gathered and was blocking up the street, The admirable child resumed his seat. Moral. Learn from this justly irritating Youth, To brush your Hair and Teeth and tell the Truth.","B stands for Bear. When Bears arc seen Approaching in the distance. Make up your mind at once between Retreat and Armed Resistance. A Gentleman remained to fight— With what result for him ? The Bear, with ill-concealed delight, Devoured him, Limb by Limb. Another Person turned and ran ; He ran extremely hard : The Bear was faster than the Man, And beat him by a yard. Moral. Decisive action in the hour of need Denotes the Hero, but does not succeed.","C stands for Cobra ; when the Cobra bites An Indian Judge, the Judge spends restless nights. Moral. This creature, though disgusting and appalling. Conveys no kind of Moral worth recalling.","D The Dreadful Dinotherium he Will have to do his best for D. The early world observed with awe His back, indented like a saw. His look was gay, his voice was strong; His tail was neither short nor long; His trunk, or elongated nose, Was not so large as some suppose; His teeth, as all the world allows. Were graminivorous, like a cow's. He therefore should have wished to pass Long peaceful nights upon the Grass, But being mad the brute preferred To roost in branches, like a bird.* A creature heavier than a whale, You see at once, could hardly fail To suffer badly when he slid * We have good reason to suppose He did so, from his claw-like toes. And tumbled (as he always did). His fossil, therefore, comes to light All broken up : and serve him right. Moral. If you were born to walk the ground, Remain there ; do not fool around.",E stands for Egg. Moral. The Moral of this verse Is applicable to the Young. Be terse.,"F for a Family taking a walk In Arcadia Terrace, no doubt: The parents indulge in intelligent talk. While the children they gambol about. At a quarter-past six they return to their tea. Of a kind that would hardly be tempting to me, Though my appetite passes belief. There is Jam, Ginger Beer, Buttered Toast, Marmalade, With a Cold Leg of Mutton and Warm Lemonade, And a large Pigeon Pie very skilfully made To consist almost wholly of Beef. Moral. A Respectable Family taking the air Is a subject on which I could dwell; It contains all the morals that ever there were, And it sets an example as well.","G stands for Gnu, whose weapons of Defence Are long, sharp, curling Horns, and Common-sense. To these he adds a Name so short and strong. That even Hardy Boers pronounce it wrong. How often on a bright Autumnal day The Pious people of Pretoria say, “Come, let us hunt the--"" Then no more is heard But Sounds of Strong Men struggling with a word. Meanwhile, the distant Gnu with grateful eyes Observes his opportunity, and flies. Moral. Child, if you have a rummy kind of name, Remember to be thankful for the same.","H was a Horseman who rode to the meet, And talked of the Pads of the fox as his ""feet""— An error which furnished subscribers with grounds For refusing to make him a Master of Hounds. He gave way thereupon to so fearful a rage, That he sold up his Stable and went on the Stage, And had all the success that a man could desire In creating the Part of ""The Old English Squire."" Moral. In the Learned Professions, a person should know The advantage of having two strings to his bow.","I the Poor Indian, justly called ""The Poor,"" He has to eat his Dinner off the floor. Moral. The Moral these delightful lines afford Is : Living cheaply is its own reward.","J stands for James, who thought it immaterial To pay his taxes, Local or Imperial. In vain the Mother wept, the Wife implored, James only yawned as though a trifle bored. The Tax Collector called again, but he Was met with Persiflage and Repartee. When James was hauled before the learned Judge, Who lectured him, he loudly whispered, ""Fudge !"" The Judge was startled from his usual calm, He struck the desk before him with his palm, And roared in tones to make the boldest quail, J stands far James, it also STANDS FOR JAIL. And therefore, on a dark and dreadful day, Policemen came and took him all away. Moral. The fate of James is typical, and shows How little mercy people can expect Who will not pay their taxes; (saving those To which they conscientiously object.)","K for the Klondyke, a Country of Gold. Where the winters are often excessively cold; Where the town every morning is covered with rime. And skating continues for years at a time. Do you think that a Climate can conquer the grit Of the Sons of the West ? Not a bit ! Not a bit! When the weather looks nippy, the bold Pioneers Put on two pairs of Stockings and cover their ears, And roam through the drear Hyperborean dales With a vast apparatus of Buckets and Pails; Or wander through wild Hyperborean glades With Hoes, Hammers, Pickaxes, Mattocks and Spades. There are some who give rise to exuberant mirth By turning up nothing but bushels of earth. While those who have little cause excellent fun By attempting to pilfer from those who have none. At times the reward they will get for their pains Is to strike very tempting auriferous veins ; Or, a shaft being sunk for some miles in the ground, Not infrequently nuggets of value are found. They bring us the gold when their labours arc ended, And we—after thanking them prettily—spend it. MORAL. Just you work for Humanity, never you mind If Humanity seems to have left you behind.","L was a Lady, Advancing in Age, Who drove in her carriage and six, With a Couple of Footmen a Coachman and Page, Who were all of them regular bricks. If the Coach ran away, or was smashed by a Dray. Or got into collisions and blocks, The Page, with a courtesy rare for his years. Would leap to the ground with inspiriting cheers. While the Footman allayed her legitimate fears. And the Coachman sat tight on his box. At night as they met round an excellent meal, They would take it in turn to observe: What a Lady indeed! what a presence to feel ! . . What a Woman to worship and serve ! . . . But, perhaps, the most poignant of all their delights Was to stand in a rapturous Dream When she spoke to them kindly on Saturday Nights. And said ""They deserved her Esteem."" Moral. Now observe the Reward of these dutiful lives : At the end of their Loyal Career They each had a Lodge at the end of the drives, And she left them a Hundred a Year. Remember from this to be properly vexed When the newspaper editors say. That ""The type of society shown in the Text Is rapidly passing away.""","M was a Millionaire who sat at Table. And ate like this—as long as he was able ; At half-past twelve the waiters turned him out : He lived impoverished and died of gout. Moral. Disgusting exhibition ! Have a care When, later on, you are a Millionaire, To rise from table feeling you could still Take something more, and not be really ill.","N stands for Ned. Maria's younger brother, Who, walking one way, chose to gaze the other. In Blandford Square—a crowded part of town— Two People on a tandem knocked him down ; Whereat a Motor Car, with warning shout, Ran right on top and turned him inside out The damages that he obtained from these Maintained him all his life in cultured ease. Moral The law protects you. Go your gentle way: The Other Man has always got to Pay.","O stands for Oxford. Hail ! salubrious seat Of learning ! Academical Retreat! Home of my Middle Age ! Malarial Spot Which People call Medeeval (though it's not). The marshes in the neighbourhood can vie With Cambridge, but the town itself is dry, And serves to make a kind of Fold or Pen Wherein to herd a lot of Learned Men. Were I to write but half of what they know, It would exhaust the space reserved for ""O""; And, as my book must not be over big. I turn at once to "" P,” which stands for Pig. Moral. Be taught by this to speak with moderation Of places where, with decent application, One gets a good, sound, middle-class education.","P stands for Pig, as I remarked before. A second cousin to the Huge Wild Boar. But Pigs arc civilized, while Huge Wild Boars Live savagely, at random, out of doors. And, in their coarse contempt for dainty foods, Subsist on Truffles, which they find in woods. Not so the cultivated Pig, who feels The need of several courses at his meals. But wrongly thinks it docs not matter whether He takes them one by one or all together. Hence, Pigs devour, from lack of self-respect, What Epicures would certainly reject. Moral. Learn from the Pig to take whatever Fate Or Elder Persons heap upon your plate.","Q for Quinine, which children take With Jam and little bits of cake. Moral. How idiotic ! Can Quinine Replace Cold Baths and Sound Hygiene ?","R the Reviewer. reviewing my book, At which he had barely intended to look ; But the very first lines upon ""A"" were enough To convince him the Verses were excellent stuff. So he wrote, without stopping, for several days In terms of extreme, but well-merited Praise. To quote but one Passage : "" No Person "" (says he), Will be really content without purchasing three,
While a Parent will send for a dozen or more, And strew them about on the Nursery Floor.
The Versification might call for some strictures Were it not for its singular wit; while the Pictures,
Tho' the handling of line is a little defective, Make up amply in verve what they lack in perspective. Moral. The habit of constantly telling the Truth Will lend an additional lustre to Youth.","S stands for Snail, who, though he be the least, Is not an uninstructive Horned Beast. His eyes are on his Horns, and when you shout Or tickle them, the Horns go in and out. Had Providence seen proper to endow The furious Unicorn or sober Cow With such a gift the one would never now Appear so commonplace on Coats of Arms. And what a fortune for our failing farms If circus managers, with wealth untold, Would take the Cows for half their weight in gold ! Moral. Learn from the Snail to take reproof with patience. And not put out your Horns on all occasions.","T for the Genial Tourist, who resides In Peckham, where he writes Italian Guides. Moral. Learn from this information not to cavil At slight mistakes in books on foreign travel.","U for the Upas Tree, that casts a blight On those that pull their sisters' hair, and fight. But oh ! the Good ! They wander undismayed, And (as the Subtle Artist has portrayed) Dispend the golden hours at play beneath its shade.* Moral. Dear Reader, if you chance to catch a sight Of Upas Trees, betake yourself to flight. * A friend of mine, a botanist, believes That Good can even browse upon its leaves. I doubt it. . . .","V for the unobtrusive Volunteer, Who fills the Armies of the World with fear. Moral. Seek with the Volunteer to put aside The empty Pomp of Military Pride.","W My little victim, let me trouble you To fix your active mind on W. The WATERBEETLE here shall teach A sermon far beyond your reach : He flabbergasts the Human Race By gliding on the water's face With ease, celerity, and grace ; But if he ever stopped to think Of how he did it, he would sink. Moral. Don't ask Questions!",X No reasonable little Child expects A Grown-up Man to make a rhyme on X. Moral. These verses teach a clever child to find Excuse for doing all that he's inclined.,"Y stands for Youth (it would have stood for Yak, But that I wrote about him two years back). Youth is the pleasant springtime of our days, As Dante so mellifluously says (Who always speaks of Youth with proper praise). You have not got to Youth, but when you do You'll find what He and 1 have said is true. Moral. Youth’s excellence should teach the Modern Wit First to be Young, and then to boast of it.","Z for this Zébu, who (like all Zebús)* Is held divine by scrupulous Hindoos. * Von Kettner writes it ""Zébu""; Wurst ""Zebu"": I split the difference and use the two. Moral. Idolatry, as you are well aware, Is highly reprehensible. But there. We needn't bother,—when we get to Z Our interest in the Alphabet is dead.",,,,,,,,,,,,,,
262,"Naval Alphabet, A",1900,A  WAS AN ADMIRAL PROUD OF HIS FLEET,B WAS A BLUEJACKET HANDY AND NEAT,C WAS A CAPTAIN AS SMART AS CAN BE,D WAS A DUKE WHO WAS FOND OF THE SEA,E WAS AN ENGINEER TESTING A PIPE,F WAS A FLEET OF AN EXCELLENT TYPE,G WAS A GUNNER WHOSE SKILL ENGLAND KNOWS,H WAS A HAMMOCK INVITING REPOSE,I ___ THE INSTRUCTION EACH MORN TO BE SEEN,J WAS A JOLLY OR ROYAL MARINE,K WAS THE KEEL FROM THE STEM TO THE STERN,L A LIEUTENANT JUST TAKING A TURN,M WAS A MIDDY WHO CARRIED A DIRK,N WAS A NAVY THAT DID ARMY WORK,O WERE THE OILSKINS TO WEAR IN A SQUALL,P WAS A PARSON THE PILOT OF ALL,Q WAS A QUARTER-DECK TERRIBLY CLEAN,R WAS RIGGING THAT CANNOT BE SEEN,S WAS A STOKER AS BLACK AS A SWEEP,T _ A TORPEDO THAT STARTLED THE DEEP,U WAS A UNION JACK NAILED TO A MAST,V WAS A VESSEL EXCEEDINGLY FAST,W _ A WEAPON WITH WHICH JACK EXCELLS,X STANDS FOR X  AT THE SOUND OF FOUR BELLS,Y WERE THE YARNS THAT THEY SPUN ABOARD SHIP,Z WAS THE ZOO JACK BROUGHT HOME FORM HIS TRIP,,,,,,,,,,,,,,
2636,"A, was an archer and Picture alphabet of nouns",1859,"a was an Archer, And shot at a Frog.","b was a Butcher, Who had a great Dog.","c was a Captain, All covered with Lace.","d was a Dunce, With a very sad Face.","e was an Esquire, With pride on his brow.","f was a Farmer, And followed the Plough.","g was a Gamester, And he had ill luck.","h was a Hunter, And hunted a Buck.",,"j was a Joiner, And built up a House","k was a King, And governed a Mouse.","l was a Lady, And had a white Hand.","m was a Merchant, To some foreign Land.","n was a Nobleman, Gallant and Bold.","o was an Oyster- girl,—- One that could","p was a Parson, And wore a black Gown.","q was a Queen, And wore a rich Crown.",r was a Robber Who needed the Whip.,"s was a Sailor, And lived in a Ship","t was a Tinker, and mended a Pot.",,"v was a Vintner, A very great Sot.","w was a Watchman, And guarded the door.","x was Expensive, And so became poor.","y was a Youth, Who did not like School.","z was a Zany, And looked like a Fool.",,,,,,,,,,,,,,
258,ABC: An alphabet written & pictured,1895,A FOR THE APPLES THAT GROW ON THE TREE. SO ROSY AND RED. OH GIVE ONE TO ME!,B FOR THE BRIDGE BUILT OVER THE BROOK.TWO LITTLE CHILDREN ARE PADDLING LOOK!,C STANDS FOR CAT BUT PUSS IS HER NAME. I'M TOLD SHE'S A TABBY IS YOURS THE SAME?,D STANDS FOR DOLL GUESS HER NAME IF YOU CAN. I THOUGHT THAT YOU COULDN'T. SHE'S CALLED MARY ANN.,E IS FOR EVENING. THE SUN IS SHINING RED BYE-BYE DEAR DOLLY. WE MUST GO TO BED.,F FOR THE FROG. DO NOT FEAR. DO NOT FEAR. IT REALLY WILL NOT HURT YOU ALTHOUGH IT LOOKS QUEER.,"G GOOSEY-GOOSEY GANDER WITH YOUR NECK SO STRAIGHT. GO HOME, GO HOME. FOR IT IS GETTING LATE.",H FOR MY HOOP WITH WHICH I OFTEN PLAY. SOMETIMES ITS VERY NAUGHTY AND TRIES TO RUN AWAY.,I FOR THE INK I'M WRITING TO FATHER. I MUST TAKE GREAT PAINS FOR IT'S DIFFICULT RATHER,J FOR JENNIE AND J FOR JOHN. OH WHAT QUEER HATS THEY BOTH HAVE ON.,K FOR MY KITE WHICH FLIES IN THE SKY OVER THE FIELDS AND EVER SO HIGH,L FOR THE LILY YOU ARE REALLY VERY TALL. I OFTEN TRY TO REACH YOU BUT I AM FAR TOO SMALL,M FOR THE MOON WITH HER SOFT SILVERY LIGHT OH HOW KIND SHE IS TO LIGHT THE WORLD AT NIGHT,"N IS FOR NED, HE THROWS HIS BALL SO HIGH I REALLY THINK SOME TIME HE TRIES TO TOUCH THE SKY",O FOR THE OCEAN SO DEEP AND SO BLUE SEE THE BOATS SAILING IN WONDER WHERE TO,P FOR THE PIGEONS LITTLE POLLY EACH DAY FEEDS THEM WITH CORN SHE HAS 20 THEY SAY,Q FOR OUR DEAR LITTLE QUEEN OF THE MAY THIS IS HER THRONE WE HAVE CROWNED HER TO DAY,"R FOR THE RABBITS THEY ARE EVER SO BONNY, THEY WILL PLAY WITH RUTH &amp; HER BROTHER JOHNNIE",S FOR THE SNOW SO VERY COLD &amp; WHITE POOR LITTLE BIRDS WHERE WILL YOU SLEEP TONIGHT?,THIS IS THE LETTER WHICH WE CALL 'T' AND HERE'S A CUP FOR DOLLIE AND ME,U FOR UMBRELLA IT IS VERY PLAIN I REALLY MUST HURRY I THINK IT WILL RAIN,V FOR THE VINE WHICH GROWS ON OUR WALL. TAKE CARE WILLIE MIND YOU DON'T FALL,W FOR WINNIE SHE LOVES TO SWING ALL DAY. SEE THE NAUGHTY WIND HAS BLOWN HER HAT AWAY,X IS SO SIMPLE YOU WILL KNOW IT AT ONCE AND NEVER FORGET IT UNLESS YOU'RE A DUNCE,Y FOR THE YARD WHERE LIVE THE FOWLS AND DUCKS I SEE A HEN AND CHICKENS JUST LISTEN HOW SHE CLUCKS ,Z 26 LETTERS YOU SEE WE HAVE READ BEGINNING WITH A &amp; ENDING WITH Z,,,,,,,,,,,,,,
273,ABC and the Children of Many Nations,1916,"Congress of Children We show to you here, American first,  For our Country is dear. ","Behold this small Briton, A tar bold and free, By helm he is standing, He rules on the sea. ","Come, see a Chinese girl With joss-stick alight. She sits on the floor here, Her feet out of sight. ","Do look at this Dutch maid, Near wind-mill she sits. In wooden shoes clumsy, She quietly knits. ","E for the Egyptian,  A lad with bare legs, He's poor and so hungry For alms oft he begs.","French school-boy and poodle, You next here will mark, Fine tricks does the doggie They're having a lark ! ",Greece gives us a stripling In skirts—a strange sight! He greets us from gardens Of classic delight. ,"Here happy Hawaii Holds high holiday, And dances the ""hula"" With frolicsome sway. ","I pictures an Indian, ""Papoose"" is its name. Though tied to its cradle, It coos just the same. ",Japan's little lady Is yellow of skin. ,"Korea, her playmate, To her is akin. ","Look, here is a Lapp, He's a child of the snows; With reindeer for horse, All fur-clad he goes.","M's Moorish, a maiden Who lives far away, She eats figs and sweeties In plenty all day.","next, she's of Naples, A bright, pretty lass, She holds her tambourine, And smiles as you pass.","O, see now this dancer, The Orient's slave; A scarf thin and flowing, Her graceful arms wave.","Pray, look at this child— Philippino is she; Once a savage quite wild,","Now a school-girl, you Quebec gives a laddie, Canadian by birth; His flying toboggan Upsets, to his mirth.","R shows us a Russian, In bright, broidered gown; pity 'twould be, If her pail should fall down.","S surely's a Spaniard, With loud castanets; For dancing and clapping, Great praise oft he gets.","Turn now to the Turk, Who has roses to sell; He haunts the bazaars, His red fez suits him well.","Uruguay's daughter The pampas lives near, Winsome and happy The face you see here.","View next, Viennese, And surely you'll say That these little kiddies Look happy and gay. ","West Indian Isles Pickaninnies can boast; Bananas they bear, Walking straight as a post","X for Xalapan, He's of Mexican strain; Both donkey and boy Make a live water-main.","Y for Yucatan, In a far away spot; Tamales she eats, And flat corn cakes quite hot.","And now with this Zulu, last shown here in turn, You'll plainly and surely your Alphabet learn.",,,,,,,,,,,,,,
252,Grandmama Goodsoul's ABC of eatables,1877,"A is an Apple, both mellow and sweet, A really good one is a very nice treat.","B is the Butter, just fresh from the churn. At breakfast and tea it serves a good turn.","C is a Cabbage, sound in its heart, To Beef, Veal, or Pork t'’will a flavour impart.","D is the Damson, whoever will try, Must acknowledge ’tis famous in Pudding or Pie.","E is the Egg, unless I’m mistaken, Is certainly good with a rasher of bacon","F is a Fowl, but your pardon I beg, To talk of a Fowl so soon after Egg.","G is the Goose, so don’t be at a loss, To take the first opne of these rhymes for the sauce",H is the Honey obtained by the Bee. Whose industrious habits we all like to see.,"I stands for Ice, which I'll show in a trice, In the hot sumnmer weather is sure to be nice.",J puts me in mind of my Grandmother’s Jam With which she delighted my stomach to cram.,"K is a Kidney, nice if well broil'd, But burn it too much and 'tis sure to be spoil'd.","L is a Lobster, he must not be o'erlooked, Tho' mind how you touch him before he is cook'd.","M stands for Mutton, do pray boil the leg, With Turnips, and Capers, and a plateful I'll beg.","N is the Nectarine, sweetest of fruit, For dessert after dinner 'twill you and I suit.","O is an Oyster, to please all beholders, As a capital sauce to the Cod's head and shoulders.","P stands for Peas, of my dinner I’ve boasted When Peas I have had with a leg of Lamb roasted.","Q is a Quince, 'twill a flavour impart, In a Pie, but alone it is rather too tart.","R stands for Rabbit, I think you'll agree, A nice one for dinner would satisfy three.","S is the king of all dishes, the Salmon, Either pickled or fresh, he’s good and no gammon.","T is for Turtle, the Aldermen’s pride, For they stick to Turtle, whate’er may betide..",U is for Utensils at which you are looking. You perceive thet they're all adapted for cooking.,"V stands for Veal, nicely stuff'd it is prime, If you chance to be hungry about dinner-time.","W is the Wine your dinner to crown, Only don't take too much to wash it all down.","Y is the Youth with Appetite rare, Who eats all he can, and leaves nothing to spare.","X is the letter I thought to o'erlook, Bit it means a good thing, an ex-cellent cook.","Z is the Zest which everyone feels, Who is healthy and hungry at each of his meals.",,,,,,,,,,,,,,
270,ABC Fun,1910,A is for auto. A wagon that goes With only a push From ten little toes. ,B is for blocks  For houses you build And when they fall down Nobody is killed. ,"C is for cars That run ofa a track, And when they run off They always get back. ",D is for doll A little girl owns. It's body is stuffed Without any bones. ,"E is for elephant, Rubber at that If you blow very hard It gets big and fat. ",F is for football The big boys can tell The fun you can have If you know how to yell. Julia's Verse. ,G is for graphophones Toy ones that say The things that you tell them The very next day. ,H is for hobby-horse Covered with hair. Some you can ride That rock like a chair. ,"I is for Indian Doll dressed in leather, With knife in its belt And headdress of feather. ",J is for jumping jack. Just see it work! It hangs on a string And jumps when you jerk. ,K is for kitchen. All made of tin. That's what the pans And kettles hang in. ,L is for lobster That crawls on the ground. When wound tight enough It backs all around. ,"M is for marbles, All shining and round. A game that boys play In a ring on the ground. ","N is for Noah. He built him an ark, And opened a zoo Like the one in the park. ","O is for orange, And that's just the size Of the big rubber ball I got as a prize. ","P is for piano, With black and white keys. It's not very big, But I play it with ease. ","Q is for quiet, And no boy is that When he has a good game With baseball and bat. ",R is for roller. A pretty tin toy That shows all the colors That please a small boy. ,"S is for ""shoofly."" A seat and a throne For wee little folk Who can't stand alone. ",T is for trunk. Just open the lid And see all the dresses Within the trays hid. ,"U is for umbrella. My doll has one, too. In the rain, if she had none, What would Dolly do? ","V is for velocipede, Boys like to ride. It's more fun than walking. Have you ever tried? ","W wagon— To push and to pull Both big ones and little, And they're always full. ","X is for xylophone, Easy to play. A hammer and metal Make music all day. ","Y is for yacht, All ready to sail. With canvas all spread In a lake or a pail. ",Z is for zebra. It needn't be big. In my Noah's ark There's also a pig. ,,,,,,,,,,,,,,
272,ABC Health Cards,1915,A is for Apples and also for Air; Children need both and we have them to spare.,"B is for Butter spread thick on Brown Bread, Also for Baths before Breafast and Bed.",C is for Cereals and Cocoa too; Consider the Calories coming to You.,"D is for Dates, the kind that You eat, Deliciously sweet and far cheaper than Meat.","E is teh Excellent Edible Egg, One daily at least, dear Children, we beg.","F is for Fruits whether fresh, dried,or stewed; Dried, at the Grocer's, you'll buy them, if shrewd.","G is for Gaining, as every Child could; A half pound a Month is the least that he should.","H is for Height, be as tall as you can, Weight up to Height makes a healthy strong Man","I is for Iron in Spinach and Eggs, Builds Red Blood and Sinews for strong Arms and Legs.","J is for Jam and also for Joy, Which spread on his Bread it brings to a Boy.","K is for Kitchen so spick and so span, We all like our Food from shining clean Pan.",L is for .... served hot in the School; We wish all the Teachers could follow this Rule.,M is for Milk which makes Muscle and Bone; One pint a day would be best till you're grown.,"N is for News of habits you need, To grow up so healthy You're bound to succeed.","O is for Oatmeal, the finest of Food; With Milk for your Breakfast, there's nothing so good.","P is for Prunes, Potatoes and Peas, And Patriots who will be glad to eat these.","Q is for Quiet, we frequently need; after Meals don't run at the top of your speed.",R is for Rest and Round .... Faces Rest is a thing which nothing replaces.,S is important and therefore I hope You'll pardon my specially mentioning Soap.,T is a Topic which Trouble begins; Both Tea and Coffee for Chidren are Sins.,"U Understanding the best way to live, United for Service our Country to give.","V is for Vegetables; if your're too slim, These Victuals are full of Vigor and Vim.",W is for Water the best thing to drink Between Meals as often as ever we think.,"X is for Xtras of Soup or of Milk, For a thin little Girl till she's finer than Silk","Y is for You, and I tell you the Truth, Learn to be Healthy and Strong in your Youth.","Z is the Zest which Health gives to Life, Now march for it, Children, with Drum and with Fife.",,,,,,,,,,,,,,
