BOOK TITLE,F21 CRAIN ALPHARR,F21 CRAIN BODY,F21 CRAIN SWALLOW,S20 CRAIN ALPHARR,S20 CRAIN BODY,S20 CRAIN SWALLOW,S18 CRAIN ALPHARR,S18 CRAIN BODY,S18 CRAIN SWALLOW,F21 MORPH AS ARE,F21 MORPH MIGHT BE,F21 MORPH SHOULD BE,S20 MORPH AS ARE,S20 MORPH MIGHT BE,S20 MORPH SHOULD BE,S18 MORPH AS ARE,S18 MORPH MIGHT BE,S18 MORPH SHOULD BE,Disability,Diverse family structure,LGBTQIA+,Mental illness,None,Racial / Ethnic identity,Religious identity,Socioeconomic status
A B See,86.2,3.4,10.3,0,0,0,0,0,0,75.8,18.2,6.1,0,0,0,0,0,0,0,2.5,0,0,15,47.5,12.5,22.5
A is for Africa,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,14.5,0,0,0,40,21.8,23.6
A to Zen : a book of Japanese culture,100,0,0,96.9,3.1,0,0,0,0,100,0,0,95.1,1.6,3.3,0,0,0,0,4.2,0,0,0,45.8,37.5,12.5
"A, was an archer and Picture alphabet of",89.7,3.4,6.9,86.4,13.6,0,84,13.3,2.7,83.3,13.3,3.3,69.7,27.3,3,81.4,13.6,5.1,2.9,2.9,0,5.7,8.6,2.9,8.6,68.6
ABC / Norbertine v. Bresslern-Roth,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,78.6,14.3,3.6,3.6
ABC and the Children of Many Nations,93.1,3.4,3.4,91.9,8.1,0,81.1,17.6,1.4,68.8,6.3,25,69.2,12.3,18.5,60.6,1.4,38,0,8,0,0,0,42,8,42
ABC de Cendrillon,96.2,3.8,0,0,0,0,0,0,0,69,20.7,10.3,0,0,0,0,0,0,0,0,0,0,11.1,3.7,0,85.2
ABC Fun,85.2,14.8,0,94.9,5.1,0,89.6,10.4,0,78.6,0,21.4,81.3,6.3,12.5,79,4.8,16.1,0,7.1,0,0,2.4,42.9,21.4,26.2
ABC Health Cards,37.1,0,62.9,40.3,0,59.7,44.2,3.2,52.6,54.8,0,45.2,44.4,1.4,54.2,36.8,2.9,60.3,7.4,0,0,7.4,81.5,0,3.7,0
ABC Jingles,92.9,7.1,0,84.5,15.5,0,77.6,19.4,3,58.3,0,41.7,40.9,6.1,53,69,1.7,29.3,21.2,3,0,0,27.3,0,0,48.5
ABC na Gaedilge,84,8,8,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,95.8,4.2,0,0
ABC of cars and trucks,100,0,0,100,0,0,0,0,0,100,0,0,95,0,5,0,0,0,0,0,0,0,81.5,0,0,18.5
Abc writing book : let's colour the pict,96.3,0,3.7,87.9,3.4,8.6,0,0,0,62.5,34.4,3.1,69.4,27.4,3.2,0,0,0,0,0,0,0,66.7,3.7,0,29.6
ABC: An alphabet written & pictured,96,4,0,86.2,8.6,5.2,85.1,9.5,5.4,88.5,3.8,7.7,69.5,18.6,11.9,78.5,12.3,9.2,0,0,0,0,100,0,0,0
ABC's of forest fire prevention,88.9,7.4,3.7,100,0,0,0,0,0,18.2,9.1,72.7,34.7,13.9,51.4,0,0,0,0,0,0,0,87.5,4.2,0,8.3
